rank,task_id,onet_code,occupation,task,passes_filters,dropped_by,opportunity,fit,money,scale,scale_source,labor_value,reads_text,closed_outcome,writes_content,physical,live_human,same_rules,errors_lose_money,loss_recoverable,recoverable_loss,outcome_visible,speed_value,digital_input,licensed_signoff,time_per_item,volume,money_link,buyer,buyer_conf,sell_model,sell_model_conf,min_score_conf,uncertain,model_reported,request_id
951,16162,15-1299.09,Information Technology Project Managers,Identify need for initial or supplemental project resources.,1,,0.3856,0.5765,0.5550,0.6248,labor_value_percentile,272537959,0.4300,0.4200,0.2000,0.0033,0.2200,0.1400,0.8700,0.2900,0.2523,0.7000,0.5900,0.9900,0.0500,1.4100,0.1300,2.0200,software_it,1,other,0.4800,0.0200,1,jev-1.13.0,req_01a0d5e6316c7b6d821e56d6fa6af9dc
952,15664,11-3031.03,Investment Fund Managers,"Develop, implement, or monitor security valuation policies.",1,,0.3856,0.4585,0.6345,0.9618,labor_value_percentile,2707937226,0.4700,0.0800,0.6100,0,0.1100,0.3900,0.9100,0.1900,0.1729,0.7200,0.4900,1,0.1300,2.2200,0.0500,2.7500,banking_fintech,0.6000,other,0.4700,0.7500,0,jev-1.13.0,req_01a0d5e5d1cf7277bbe18791912c47b9
953,5441,13-1161.00,Market Research Analysts and Marketing Specialists,"Gather data on competitors and analyze their prices, sales, and method of marketing and distribution.",1,,0.3855,0.5075,0.4497,0.9700,labor_value_percentile,3139177778,0.7400,0.0500,0.5200,0.0033,0.1000,0.1300,0.8300,0.1700,0.1411,0.6600,0.6400,1,0.0300,2.0700,0.2800,1.5700,sales_marketing,1,other,0.9800,0.4000,0,jev-1.13.0,req_01a0d5ddd6e2776b872025f06aeac30a
954,16233,15-1299.03,Document Management Specialists,"Assist in the assessment, acquisition, or deployment of new electronic document management systems.",1,,0.3855,0.5260,0.6837,0.6504,labor_value_percentile,300970294,0.7000,0.1700,0.3500,0.0267,0.1700,0.2000,0.8800,0.3500,0.3080,0.7800,0.5500,0.9900,0.0500,2.3700,0,2.6800,software_it,0.7400,other,0.9800,0.6800,0,jev-1.13.0,req_01a0d5e6435c747f8a1ca46aa0e0e791
955,7009,41-2012.00,Gambling Change Persons and Booth Cashiers,Accept credit applications and verify credit references to provide check-cashing authorization or to establish house credit accounts.,1,,0.3853,0.7180,0.6663,0.1894,labor_value_percentile,40393321,0.8100,0.8400,0.0800,0.1000,0.3300,0.7300,0.9300,0.3500,0.3255,0.8200,0.8300,0.2000,0.1600,1.2900,0.4700,2.4200,banking_fintech,0.5500,per_item,0.3900,0.5300,0,jev-1.13.0,req_01a0d5df42567d5bb79cf63db5b05960
956,15656,11-9199.02,Compliance Managers,Conduct or direct the internal investigation of compliance issues.,1,,0.3852,0.4980,0.6320,0.7904,labor_value_percentile,579352871,0.6600,0.1500,0.5900,0.0433,0.3600,0.3900,0.9000,0.4100,0.3690,0.7200,0.5900,0.9700,0.0900,2.2800,0.0600,2.2900,banking_fintech,0.7200,other,0.5500,0.2900,1,jev-1.13.0,req_01a0d5e5d07b770aad767eb29c83a3b7
957,1305,15-1242.00,Database Administrators,Specify users and user access levels for each segment of database.,1,,0.3851,0.5790,0.4503,0.7404,labor_value_percentile,443849538,0.3500,0.3700,0.3000,0,0.0900,0.4000,0.7100,0.3800,0.2698,0.6000,0.5400,1,0.0600,1.2900,0.2500,1.4200,software_it,0.9700,other,0.6300,0.3900,1,jev-1.13.0,req_01a0d5dae4ab76a49d8c4942bfc35626
958,16986,19-4099.03,Remote Sensing Technicians,Verify integrity and accuracy of data contained in remote sensing image analysis systems.,1,,0.3851,0.6855,0.4204,0.4881,labor_value_percentile,156700412,0.7900,0.6800,0.1100,0.0133,0.0400,0.5500,0.6600,0.3000,0.1980,0.7100,0.6300,0.1900,0.0800,1.2300,1.1800,1.1100,government,0.9500,other,0.3000,0.4900,0,jev-1.13.0,req_01a0d5e6d3a27acd833c92b0d37f224e
959,20723,13-1041.03,Equal Opportunity Representatives and Officers,Monitor the implementation and impact of guidelines for nondiscriminatory employment practices.,1,,0.3850,0.6035,0.4810,0.6680,labor_value_percentile,323790962,0.7700,0.1000,0.2200,0.0233,0.1600,0.7400,0.8400,0.2700,0.2268,0.7100,0.3300,0.9900,0.0700,2.1300,0.7400,1.5000,government,0.6900,other,0.5100,0.1400,1,jev-1.13.0,req_01a0d5e9c86a753b9223b2b88dbef647
960,21766,15-1299.05,Information Security Engineers,"Assess the quality of security controls, using performance indicators.",1,,0.3850,0.5895,0.5052,0.6482,labor_value_percentile,297918131,0.5700,0.3300,0.3500,0.0400,0.0800,0.4000,0.8100,0.3000,0.2430,0.7300,0.5300,1,0.0600,1.7100,0.2100,1.6000,software_it,0.9700,other,0.9300,0.3200,1,jev-1.13.0,req_01a0d5eabf387577b7318b2eacab10dd
961,18002,29-1141.04,Clinical Nurse Specialists,Evaluate the quality and effectiveness of nursing practice or organizational systems.,1,,0.3849,0.5360,0.4078,0.9545,labor_value_percentile,2458673645,0.5300,0.2500,0.3800,0.1533,0.1700,0.3900,0.7000,0.3500,0.2450,0.6300,0.4400,0.9600,0.1700,1.8300,0.1400,1.0900,healthcare_admin,1,other,0.8600,0.5400,0,jev-1.13.0,req_01a0d5e7a8e5707599f396911526ef5a
962,11301,43-4131.00,Loan Interviewers and Clerks,"Contact credit bureaus, employers, and other sources to check applicants' credit and personal references.",1,,0.3849,0.4835,0.7035,0.7259,labor_value_percentile,411593908,0.3200,0.0700,0.1300,0.0433,0.6100,0.5000,0.9000,0.3400,0.3060,0.7900,0.8300,0.7000,0.0800,1.2600,1.4000,2.8100,banking_fintech,1,per_item,0.8800,0.5700,0,jev-1.13.0,req_01a0d5e27c657ea8a05215fb43c0c309
963,21306,11-3013.01,Security Managers,Review financial reports to ensure efficiency and quality of security operations.,1,,0.3847,0.6170,0.4671,0.6220,labor_value_percentile,269909966,0.9200,0.1800,0.2400,0.0033,0.0400,0.2500,0.8700,0.4500,0.3915,0.6500,0.4800,1,0.0600,1.9200,0.0600,1.1600,government,0.4500,other,0.5300,0.8400,0,jev-1.13.0,req_01a0d5d9d2e47aedb42a2f6f41922baa
964,15719,13-1199.06,Online Merchants,Measure and analyze Web site usage data to maximize search engine returns or refine customer interfaces.,1,,0.3845,0.5370,0.5008,0.7883,labor_value_percentile,570988553,0.7200,0.0900,0.4400,0,0.0300,0.1000,0.6900,0.2100,0.1449,0.8400,0.6700,1,0.0400,1.7100,0.3000,1.5400,ecommerce_marketplaces,0.7900,other,0.4100,0.4500,0,jev-1.13.0,req_01a0d5e5de067a1d990c33023b837cdf
965,7359,13-2082.00,Tax Preparers,Prepare or assist in preparing simple to complex tax returns for individuals or small businesses.,1,,0.3844,0.4740,0.7715,0.7002,labor_value_percentile,368087597,0.5600,0.0400,0.7200,0.0100,0.1600,0.5200,0.9500,0.5200,0.4940,0.8600,0.7700,0.8900,0.1400,1.8600,1.6700,2.7400,accounting_finance_ops,1,per_item,0.9000,0.6600,0,jev-1.13.0,req_01a0d5df85147399b2fe5f9f20a792cb
966,15646,11-9199.02,Compliance Managers,Provide assistance to internal or external auditors in compliance reviews.,1,,0.3843,0.5655,0.4528,0.7784,labor_value_percentile,541360152,0.7300,0.0700,0.2400,0.0100,0.3200,0.5700,0.8300,0.3900,0.3237,0.5500,0.5200,0.9600,0.1000,1.9500,0.1000,1.4300,banking_fintech,0.4500,other,0.8700,0.4500,0,jev-1.13.0,req_01a0d5e5ce7075d8b49be2946e5e1912
967,19925,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Compare emissions findings with applicable emissions standards.,1,,0.3842,0.7910,0.6070,0.1309,labor_value_percentile,27898922,0.7400,0.7800,0.1800,0.1267,0.0500,0.8900,0.8700,0.2900,0.2523,0.7800,0.6900,0.8400,0.1600,0.9900,1.2600,2.2300,government,0.9100,per_item,0.6900,0.2300,1,jev-1.13.0,req_01a0d5e92c67798281c790dbea4962a5
968,4582,41-3011.00,Advertising Sales Agents,Process all correspondence and paperwork related to accounts.,1,,0.3841,0.5580,0.5243,0.6681,labor_value_percentile,323948030,0.4100,0.0600,0.1900,0.0233,0.0700,0.5100,0.8500,0.5200,0.4420,0.5100,0.8300,0.9700,0.0600,1.1100,1.3700,1.7900,media_publishing,0.4700,per_item,0.5000,0.5600,0,jev-1.13.0,req_01a0d5dd42ee78bd80aaab2955ad3b82
969,11947,51-9161.00,Computer Numerically Controlled Tool Operators,"Monitor machine operation and control panel displays, and compare readings to specifications to detect malfunctions.",1,,0.3840,0.6105,0.4238,0.6877,labor_value_percentile,349481720,0.4300,0.5300,0.0400,0.5133,0.0200,0.7300,0.6500,0.1700,0.1105,0.7600,0.4700,0.0700,0.0400,1.0500,1.6100,1.2200,manufacturing_quality,1,not_outsourced,0.8500,0,1,jev-1.13.0,req_01a0d5e3115d7127bd837cd5089a954a
970,10775,53-7021.00,Crane and Tower Operators,"Review daily work or delivery schedules to determine orders, sequences of deliveries, or special loading instructions.",1,,0.3838,0.6815,0.4093,0.5052,labor_value_percentile,167895850,0.7100,0.3700,0.0700,0.0500,0.0500,0.2700,0.7300,0.2800,0.2044,0.6000,0.6200,0.8100,0.0600,0.5400,1.0200,1.2600,logistics_supply_chain,0.5500,not_outsourced,0.8700,0.7000,0,jev-1.13.0,req_01a0d5e20fce70dfa8c6e5e1742e6716
971,9500,35-2012.00,"Cooks, Institution and Cafeteria","Determine meal prices, based on calculations of ingredient prices.",1,,0.3838,0.5365,0.5786,0.7117,labor_value_percentile,385583293,0.3100,0.0700,0.1500,0.0267,0.0500,0.3900,0.9200,0.2800,0.2576,0.7600,0.5900,0.9000,0.0600,0.9000,0.1200,2.0500,education,0.4900,not_outsourced,0.6400,0.8800,0,jev-1.13.0,req_01a0d5e107c07f24952d588b80a655a6
972,14727,15-1254.00,Web Developers,"Research, document, rate, or select alternatives for Web architecture or technologies.",1,,0.3837,0.6585,0.4359,0.5242,labor_value_percentile,181556503,0.7900,0.5800,0.4500,0,0.0700,0.2000,0.7100,0.2500,0.1775,0.6800,0.6500,1,0.0300,1.6800,0.0700,1.3400,software_it,1,other,0.9400,0.6400,0,jev-1.13.0,req_01a0d5e5387170c5863ecb6f098d788e
973,1399,17-2112.00,Industrial Engineers,"Review production schedules, engineering specifications, orders, and related information to obtain knowledge of manufacturing methods, procedures, and activities.",1,,0.3835,0.6185,0.3178,0.7654,labor_value_percentile,506527733,0.8900,0.0500,0.1200,0.0067,0.0400,0.1600,0.7600,0.2800,0.2128,0.3800,0.6600,0.9800,0.0500,1.2900,1.2500,1.0500,manufacturing_quality,1,not_outsourced,0.5800,0.5400,0,jev-1.13.0,req_01a0d5daf7fc74d3a7b3dc2189340beb
974,5438,13-1161.00,Market Research Analysts and Marketing Specialists,"Measure the effectiveness of marketing, advertising, and communications programs and strategies.",1,,0.3835,0.4815,0.5481,0.9468,labor_value_percentile,2247658170,0.5000,0.1200,0.5300,0.0033,0.0900,0.1500,0.7800,0.1700,0.1326,0.8500,0.5700,1,0.0400,1.9200,0.4000,1.9000,sales_marketing,1,other,0.8700,0.1000,1,jev-1.13.0,req_01a0d5ddd61470ba9f5d933dd6977d26
975,21176,19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Review environmental, historical, or technical reports and publications for accuracy.",1,,0.3833,0.7315,0.4548,0.3630,labor_value_percentile,90037158,0.9300,0.4300,0.1200,0,0.0300,0.4600,0.6800,0.3700,0.2516,0.6600,0.5700,0.9700,0.0700,1.2600,0.3000,1.3600,government,0.4200,other,0.3300,0.5400,0,jev-1.13.0,req_01a0d5ea29847937b01c2b0096de1bf5
976,2537,43-3061.00,Procurement Clerks,"Prepare, maintain, and review purchasing files, reports and price lists.",1,,0.3832,0.5720,0.6610,0.5077,labor_value_percentile,169969316,0.7400,0.0500,0.6800,0.0233,0.0500,0.5700,0.9300,0.6200,0.5766,0.7600,0.7000,1,0.0500,1.3500,1.2400,1.9500,logistics_supply_chain,0.9900,not_outsourced,0.6000,0.4000,0,jev-1.13.0,req_01a0d5dbd0e778999e72ca27e5a1773c
977,673,41-1011.00,First-Line Supervisors of Retail Sales Workers,Review inventory and sales records to prepare reports for management and budget departments.,1,,0.3831,0.5175,0.4507,0.9512,labor_value_percentile,2376736400,0.8400,0.0500,0.9200,0.1067,0.0500,0.2500,0.8800,0.3700,0.3256,0.5100,0.4600,1,0.0400,1.7400,0.2300,1.5000,ecommerce_marketplaces,0.4700,not_outsourced,0.5500,0.4900,0,jev-1.13.0,req_01a0d5da73637302a66a81176b4c0d56
978,11823,49-9041.00,Industrial Machinery Mechanics,Study blueprints or manufacturers' manuals to determine correct installation or operation of machinery.,1,,0.3830,0.5015,0.5004,0.9319,labor_value_percentile,1800809100,0.6800,0.0800,0.0700,0.0967,0.0300,0.4600,0.7400,0.2000,0.1480,0.7200,0.5400,0.0500,0.0600,1.7400,0.3600,1.8000,manufacturing_quality,1,other,0.5400,0.1800,1,jev-1.13.0,req_01a0d5e2f5c1712891d2c0e91cb0f53c
979,16066,15-1241.01,Telecommunications Engineering Specialists,"Prepare purchase requisitions for computer hardware and software, networking and telecommunications equipment, test equipment, cabling, or tools.",1,,0.3827,0.4925,0.7344,0.6735,labor_value_percentile,332336614,0.4300,0.0600,0.5500,0.0967,0.1000,0.3400,0.9300,0.5200,0.4836,0.7600,0.7100,0.9800,0.0700,1.4100,0.1500,2.7100,software_it,0.7400,not_outsourced,0.6000,0.7100,0,jev-1.13.0,req_01a0d5e61d1d71d48925a54217ab1bdb
980,21983,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,"Review existing electrical engineering criteria to identify necessary revisions, deletions, or amendments to outdated material.",1,,0.3826,0.6500,0.3816,0.6139,labor_value_percentile,261501244,0.9100,0.4200,0.5000,0.0167,0.0800,0.5300,0.7200,0.2900,0.2088,0.6100,0.5600,0.9700,0.1300,1.9800,0.1300,1.0200,manufacturing_quality,0.9400,other,0.7100,0.8000,0,jev-1.13.0,req_01a0d5eaf7417ca0b90f5387459b56d6
981,15678,11-3031.03,Investment Fund Managers,Manage investment funds to maximize return on client investments.,1,,0.3825,0.4395,0.6905,0.9707,labor_value_percentile,3186134552,0.4400,0.0500,0.1000,0,0.1400,0.1000,0.9200,0.1600,0.1472,0.8300,0.4500,0.9800,0.1600,2.6700,0.9900,2.9800,banking_fintech,0.7200,not_outsourced,0.4800,0.0100,1,jev-1.13.0,req_01a0d5e5d569713483b7080d9af8543d
982,1267,15-1251.00,Computer Programmers,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,1,,0.3824,0.5330,0.4564,0.8365,labor_value_percentile,748968278,0.4900,0.0700,0.3300,0,0.0300,0.1700,0.5900,0.3600,0.2124,0.8200,0.7300,1,0.0300,1.1700,1.1000,1.1000,software_it,1,other,0.8500,0.7200,0,jev-1.13.0,req_01a0d5dadb2777bda4c69257b4b9629c
983,20005,13-1081.01,Logistics Engineers,Determine requirements for compliance with environmental certification standards.,1,,0.3821,0.6005,0.5936,0.5196,labor_value_percentile,178712442,0.8600,0.1500,0.3800,0.0033,0.0900,0.6000,0.8700,0.3000,0.2610,0.7000,0.5100,1,0.1100,2.1600,0.0200,2.2900,logistics_supply_chain,0.9300,other,0.9300,0.2900,1,jev-1.13.0,req_01a0d5e9392a7a3aa3cea4a234d4a8b2
984,21402,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Calculate and record department expenses and revenue.,1,,0.3819,0.5570,0.6741,0.5456,labor_value_percentile,198927462,0.5400,0.0400,0.3100,0.0033,0.0400,0.4600,0.9300,0.5200,0.4836,0.8300,0.6000,0.9900,0.0500,1.3200,0.6000,2.1000,other,0.3900,not_outsourced,0.3900,0.4000,0,jev-1.13.0,req_01a0d5ea624479538416bb360522b6d2
985,2449,41-9022.00,Real Estate Sales Agents,Generate lists of properties that are compatible with buyers' needs and financial resources.,1,,0.3819,0.5090,0.6040,0.7325,labor_value_percentile,424596546,0.7300,0.0700,0.6600,0.1267,0.2700,0.2500,0.7200,0.2300,0.1656,0.7900,0.8000,0.8200,0.1100,1.3500,1.1900,2.3800,real_estate,1,per_lead,0.4400,0.3800,1,jev-1.13.0,req_01a0d5dbbb3a72789710febe416e8bf9
986,20184,13-2052.00,Personal Financial Advisors,"Manage client portfolios, keeping client plans up-to-date.",1,,0.3818,0.4395,0.6884,0.9236,labor_value_percentile,1622300175,0.3200,0.0600,0.2300,0.0067,0.2700,0.1300,0.8600,0.2200,0.1892,0.7900,0.7000,0.9900,0.1900,1.8600,0.7600,2.9600,banking_fintech,0.8700,other,0.3500,0.2400,1,jev-1.13.0,req_01a0d5e95d1278dc843850e2ea750e70
987,20326,13-1161.01,Search Marketing Strategists,Identify appropriate Key Performance Indicators (KPIs) and report key metrics from digital campaigns.,1,,0.3818,0.5045,0.5017,0.9018,labor_value_percentile,1292797843,0.5800,0.1200,0.7600,0,0.0500,0.1500,0.7400,0.2000,0.1480,0.7600,0.6000,1,0.0300,1.3800,0.5200,1.7200,sales_marketing,1,other,0.7500,0.2700,1,jev-1.13.0,req_01a0d5e97f2f79dcb0d7fb7815941e9d
988,16219,15-1299.03,Document Management Specialists,Monitor regulatory activity to maintain compliance with records and document management laws.,1,,0.3813,0.5970,0.5438,0.6052,labor_value_percentile,253292548,0.8000,0.0700,0.1400,0,0.0800,0.4800,0.8800,0.3100,0.2728,0.6600,0.3100,0.9900,0.0700,1.9800,0.4200,1.9800,legal,0.3900,other,0.5800,0,1,jev-1.13.0,req_01a0d5e63fef74c39a13f1ec7ea366ff
989,3968,27-3042.00,Technical Writers,"Edit, standardize, or make changes to material prepared by other writers or establishment personnel.",1,,0.3813,0.6265,0.3295,0.7260,labor_value_percentile,411636661,0.7800,0.0800,0.4100,0.0033,0.0500,0.6400,0.4000,0.2400,0.0960,0.5800,0.6100,0.9900,0.0500,1.2000,0.9100,0.9500,software_it,0.5900,other,0.5900,0.5000,0,jev-1.13.0,req_01a0d5dcc8c8705599f7c3175f3ca8de
990,2787,43-6011.00,Executive Secretaries and Executive Administrative Assistants,"Review operating practices and procedures to determine whether improvements can be made in areas such as workflow, reporting procedures, or expenditures.",1,,0.3813,0.5395,0.4148,0.8940,labor_value_percentile,1200800915,0.7700,0.1600,0.4600,0.0333,0.1400,0.2000,0.7400,0.4000,0.2960,0.6200,0.5500,0.9500,0.0500,2.0700,0.0300,1.0500,other,0.3200,other,0.8700,0.9000,0,jev-1.13.0,req_01a0d5dc02607079bcaa9cbfec11e553
991,23893,53-7065.00,Stockers and Order Fillers,"Recommend disposal of excess, defective, or obsolete stock.",1,,0.3806,0.4825,0.4994,0.9812,labor_value_percentile,4013342860,0.3400,0.3400,0.1400,0.3100,0.4700,0.3900,0.8300,0.2200,0.1826,0.7000,0.6200,0.1100,0.0600,1.2000,0.0800,1.7600,logistics_supply_chain,0.9800,not_outsourced,0.3600,0.0700,1,jev-1.13.0,req_01a0d5ecd665700c9b9bc3ba4109a784
992,55,11-9111.00,Medical and Health Services Managers,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",1,,0.3804,0.5270,0.4185,0.9841,labor_value_percentile,4370107287,0.6300,0.0400,0.0500,0,0.0800,0.0800,0.8900,0.4400,0.3916,0.3100,0.2600,0.9900,0.0600,1.9800,0.4900,1.5600,healthcare_admin,1,not_outsourced,0.5100,0.4000,0,jev-1.13.0,req_01a0d5da09d67f98a02d594fd99551d9
993,21701,15-1255.00,Web and Digital Interface Designers,Identify or maintain links to and from other Web sites and check links to ensure proper functioning.,1,,0.3802,0.6635,0.3957,0.5464,labor_value_percentile,199481403,0.4500,0.2600,0.1000,0,0.0300,0.6300,0.4300,0.2200,0.0946,0.7800,0.6200,1,0.0300,0.5400,0.4100,1,software_it,0.7500,other,0.4500,0.5900,0,jev-1.13.0,req_01a0d5eaae4d70ea9ee9dd163d84e337
994,20169,11-3031.01,Treasurers and Controllers,"Handle all aspects of employee insurance, benefits, and casualty programs, including monitoring changes in health insurance regulations and creating budgets for benefits and worker's compensation.",1,,0.3801,0.4475,0.7573,0.8646,labor_value_percentile,943305924,0.3500,0.0400,0.4500,0.0033,0.1200,0.2800,0.9600,0.5600,0.5376,0.7600,0.3700,1,0.0700,2.0100,0.5400,2.7600,accounting_finance_ops,0.5500,other,0.3300,0.4600,0,jev-1.13.0,req_01a0d5e959327ac58afc2c76b93d8253
995,5800,25-1042.00,"Biological Science Teachers, Postsecondary","Evaluate and grade students' class work, laboratory work, assignments, and papers.",1,,0.3800,0.7575,0.2377,0.5663,labor_value_percentile,217335030,0.8700,0.8000,0.1300,0.0767,0.0600,0.4700,0.2100,0.1700,0.0357,0.4500,0.3500,0.5500,0.0700,1.1100,1.1700,0.6900,education,1,not_outsourced,0.9100,0.6400,0,jev-1.13.0,req_01a0d5de21037d87af195b259d33d1db
996,1083,11-9051.00,Food Service Managers,"Monitor compliance with health and fire regulations regarding food preparation and serving, and building maintenance in lodging and dining facilities.",1,,0.3799,0.4905,0.6305,0.8287,labor_value_percentile,712964144,0.3600,0.1700,0.1000,0.3700,0.1600,0.8200,0.9000,0.2500,0.2250,0.7700,0.3900,0.2400,0.0900,1.8900,0.6600,2.4900,other,1,other,0.5200,0.3400,1,jev-1.13.0,req_01a0d5dabe0978ed8050766e6b8bfb5d
997,98,13-1151.00,Training and Development Specialists,"Monitor, evaluate, or record training activities or program effectiveness.",1,,0.3797,0.5550,0.3621,0.9352,labor_value_percentile,1897085926,0.6100,0.1300,0.4000,0.0567,0.1400,0.3000,0.5900,0.2400,0.1416,0.6300,0.3800,0.9800,0.0500,1.3800,0.3100,0.9800,hr_recruiting,0.8700,other,0.9300,0.6900,0,jev-1.13.0,req_01a0d5da126375c3a185c3b9f30884fd
998,15968,13-1199.05,Sustainability Specialists,Review and revise sustainability proposals or policies.,1,,0.3794,0.5370,0.3917,0.9283,labor_value_percentile,1701282150,0.8600,0.1300,0.7300,0.0133,0.1300,0.3000,0.7700,0.2700,0.2079,0.5200,0.5300,1,0.0800,2.0700,0.1300,1.3000,government,0.2000,other,0.9500,0.6100,0,jev-1.13.0,req_01a0d5e60d727fc296ec4fa035ed442a
999,9497,35-2012.00,"Cooks, Institution and Cafeteria",Monitor menus and spending to ensure that meals are prepared economically.,1,,0.3793,0.5225,0.5368,0.8183,labor_value_percentile,672035823,0.5100,0.0700,0.0900,0.1833,0.0800,0.3200,0.9000,0.2400,0.2160,0.7200,0.3900,0.9000,0.0500,1.9500,0.7300,1.9200,education,0.5300,not_outsourced,0.5600,0.0800,1,jev-1.13.0,req_01a0d5e106f077c586b19765892ab43b
1000,2702,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Provide assistance in administering employee benefit programs and worker's compensation plans.,1,,0.3792,0.5420,0.6131,0.6336,labor_value_percentile,281025109,0.3900,0.0700,0.1300,0.0133,0.2400,0.6000,0.8800,0.5900,0.5192,0.6400,0.6200,0.9600,0.0900,1.4400,0.4000,1.9900,hr_recruiting,0.9800,subscription,0.2600,0.6000,0,jev-1.13.0,req_01a0d5dbf659747e8d289c39d41c89f6
1001,5301,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Impose payment deadlines on delinquent taxpayers and monitor payments to ensure that deadlines are met.,1,,0.3789,0.5160,0.7495,0.5648,labor_value_percentile,215456185,0.3200,0.0900,0.2100,0.0200,0.3800,0.6700,0.8900,0.5900,0.5251,0.8800,0.7300,0.9800,0.1600,1.5000,1.4400,2.4600,government,1,contingency,0.4400,0.4400,0,jev-1.13.0,req_01a0d5ddc1bc7872bff92a309361a5af
1002,15369,11-1011.03,Chief Sustainability Officers,Conduct risk assessments related to sustainability and the environment.,1,,0.3789,0.4900,0.5853,0.8581,labor_value_percentile,891011988,0.6200,0.1900,0.6500,0.0267,0.1100,0.2200,0.8500,0.2000,0.1700,0.6700,0.5000,1,0.0800,2.3100,0.0600,2.5000,manufacturing_quality,0.5400,other,0.9700,0.5000,0,jev-1.13.0,req_01a0d5e5988c708ea53624ed047fa0a1
1003,7280,13-1111.00,Management Analysts,"Review forms and reports and confer with management and users about format, distribution, and purpose, identifying problems and improvements.",1,,0.3787,0.5375,0.3355,0.9963,labor_value_percentile,7591674243,0.6600,0.0900,0.1900,0.0133,0.3500,0.1500,0.6000,0.3400,0.2040,0.4700,0.5700,0.8200,0.0400,1.3800,0.5500,1,government,0.3100,other,0.9800,0.4500,0,jev-1.13.0,req_01a0d5df7ec67f00aad6d97f1c8dd47c
1004,21281,11-3013.00,Facilities Managers,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,1,,0.3784,0.5500,0.4138,0.8414,labor_value_percentile,775750585,0.7300,0.1100,0.8100,0.0133,0.0600,0.4600,0.8100,0.3900,0.3159,0.6100,0.5700,1,0.0500,1.5000,0.6400,1.0200,real_estate,0.9700,not_outsourced,0.5500,0.3600,1,jev-1.13.0,req_01a0d5ea44527795965c6d48a8292891
1005,2946,49-3021.00,Automotive Body and Related Repairers,"Review damage reports, prepare or review repair cost estimates, and plan work to be performed.",1,,0.3782,0.4905,0.7097,0.6733,labor_value_percentile,331740061,0.6300,0.0700,0.5200,0.1300,0.1100,0.1900,0.9300,0.3800,0.3534,0.8300,0.7800,0.6400,0.0900,1.3200,1.4400,2.6600,manufacturing_quality,0.8300,not_outsourced,0.2800,0.5400,0,jev-1.13.0,req_01a0d5dc24717d048b7ff97324bdec2d
1006,11663,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Review manufacturer's instructions, manuals, technical specifications, building permits, and ordinances to determine communication equipment requirements and procedures.",1,,0.3781,0.6230,0.4622,0.5518,labor_value_percentile,204001927,0.8100,0.1600,0.1000,0.0700,0.0400,0.5400,0.8100,0.2600,0.2106,0.7300,0.7000,0.6100,0.0800,1.3200,0.8700,1.3500,manufacturing_quality,0.4300,other,0.4400,0.5900,0,jev-1.13.0,req_01a0d5e2d14e7a66802a6851c99cf242
1007,15933,13-1041.08,Customs Brokers,"Stay abreast of changes in import or export laws or regulations by reading current literature, attending meetings or conferences, or conferring with colleagues.",1,,0.3781,0.5450,0.6493,0.6131,labor_value_percentile,261055738,0.7100,0.0400,0.0700,0.0300,0.1500,0.1400,0.8500,0.5500,0.4675,0.5500,0.4300,0.9600,0.0900,1.8300,0.3900,2.5800,logistics_supply_chain,0.9600,not_outsourced,0.5600,0.5800,0,jev-1.13.0,req_01a0d5e6045c727396fe57a0ba43ef0c
1008,15794,11-9199.08,Loss Prevention Managers,Perform or direct inventory investigations in response to shrink results outside of acceptable ranges.,1,,0.3779,0.4755,0.6864,0.7834,labor_value_percentile,556649822,0.5300,0.1200,0.3300,0.3467,0.1900,0.2500,0.8700,0.3400,0.2958,0.7700,0.5700,0.8100,0.0700,2.2200,0.1100,2.7500,ecommerce_marketplaces,0.6500,not_outsourced,0.3100,0.6300,0,jev-1.13.0,req_01a0d5e5e5e377258b37e8ae76061825
1009,8950,13-1081.00,Logisticians,"Manage subcontractor activities, reviewing proposals, developing performance specifications, and serving as liaisons between subcontractors and organizations.",1,,0.3778,0.4935,0.7053,0.6893,labor_value_percentile,351472642,0.5900,0.1200,0.3900,0.0400,0.3500,0.2700,0.9400,0.5000,0.4700,0.7700,0.6300,0.9800,0.0600,2.2200,0.4900,2.5000,logistics_supply_chain,0.9800,other,0.6500,0.5000,0,jev-1.13.0,req_01a0d5e0a2f67c4fac2cbe7c09faf9af
