task_id,sample_group,split,reads_text,closed_outcome,writes_content,physical,live_human,same_rules,errors_lose_money,loss_recoverable,outcome_visible,speed_value,digital_input,licensed_signoff,time_per_item,volume,money_link,buyer,sell_model,labeler_a,labeler_b
9616,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,0,media_publishing,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|0|media_publishing|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|0|media_publishing|not_outsourced
9736,anchor_high,heldout,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,1,1,2,government,per_item,yes|yes|no|no|no|yes|yes|yes|yes|yes|yes|no|1|1|2|government|per_item,yes|yes|no|no|no|yes|yes|yes|yes|yes|yes|no|1|1|2|government|per_item
9797,likely_good,heldout,no,no,no,no,no,no,no,no,no,no,no,no,0,2,1,government,per_item,no|no|no|no|no|no|no|no|no|no|no|no|0|2|1|government|per_item,no|no|no|no|no|no|no|no|no|no|no|no|0|2|0|government|per_item
9865,likely_bad,heldout,no,yes,no,yes,no,yes,no,no,no,no,no,no,1,0,1,real_estate,not_outsourced,no|yes|no|yes|no|yes|no|no|no|no|no|no|1|0|1|real_estate|not_outsourced,no|yes|no|yes|no|yes|no|no|no|no|no|no|0|0|1|real_estate|not_outsourced
9869,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,2,1,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|real_estate|other
9878,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,2,1,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|real_estate|other,no|no|no|yes|no|no|no|no|yes|no|no|no|2|1|1|real_estate|other
9946,random,dev,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,1,1,1,logistics_supply_chain,other,yes|no|no|no|no|yes|no|no|yes|yes|yes|yes|1|1|1|manufacturing_quality|other,yes|yes|no|no|no|yes|no|no|yes|yes|yes|yes|1|1|1|logistics_supply_chain|other
9984,likely_bad,dev,no,no,no,yes,no,no,no,no,no,yes,no,no,2,1,1,logistics_supply_chain,other,no|no|no|yes|no|no|no|no|yes|yes|no|no|2|1|1|logistics_supply_chain|other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|logistics_supply_chain|other
10029,random,heldout,no,no,no,yes,no,no,yes,no,no,no,no,no,1,2,1,manufacturing_quality,per_item,no|no|no|yes|no|no|yes|no|yes|no|no|no|1|2|1|manufacturing_quality|per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|manufacturing_quality|per_item
10175,likely_bad,heldout,no,no,no,yes,no,no,yes,no,yes,no,no,no,0,3,1,manufacturing_quality,per_item,no|no|no|yes|no|no|yes|no|yes|no|no|no|2|1|1|manufacturing_quality|per_item,no|no|no|yes|no|no|yes|no|yes|no|no|no|0|3|1|manufacturing_quality|per_item
10186,likely_bad,dev,yes,no,no,no,no,no,yes,no,yes,yes,no,no,1,1,1,manufacturing_quality,not_outsourced,yes|no|no|no|no|no|yes|no|yes|no|no|no|1|1|1|manufacturing_quality|not_outsourced,yes|no|no|no|no|yes|yes|no|yes|yes|no|no|1|1|2|manufacturing_quality|not_outsourced
10329,random,heldout,no,no,no,yes,no,no,yes,no,yes,no,no,no,0,2,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|no|yes|no|yes|no|no|no|1|2|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|yes|no|yes|no|no|no|0|2|1|manufacturing_quality|not_outsourced
10641,anchor_low,dev,no,no,no,yes,no,no,no,no,no,yes,no,no,2,1,1,logistics_supply_chain,per_item,no|no|no|yes|no|no|no|no|yes|yes|no|no|2|1|1|logistics_supply_chain|per_item,no|no|no|yes|no|no|no|no|no|yes|no|no|2|1|1|logistics_supply_chain|per_item
10667,random,dev,no,yes,no,yes,no,yes,no,no,yes,no,no,no,0,2,1,logistics_supply_chain,not_outsourced,no|yes|no|yes|no|yes|no|no|yes|no|no|no|0|2|1|logistics_supply_chain|not_outsourced,no|yes|no|yes|no|yes|no|no|yes|no|no|no|0|2|1|logistics_supply_chain|not_outsourced
11029,random,dev,yes,no,no,no,no,no,no,no,no,no,no,no,2,0,0,media_publishing,other,yes|no|no|no|no|no|no|no|no|no|no|no|2|0|0|media_publishing|not_outsourced,yes|no|no|no|no|no|no|no|no|no|no|no|2|0|0|media_publishing|other
11035,random,dev,no,no,no,yes,yes,no,no,no,no,no,no,no,3,0,1,media_publishing,other,no|no|no|yes|yes|no|no|no|no|no|no|no|3|0|1|media_publishing|other,no|no|no|yes|yes|no|no|no|no|no|no|no|3|0|1|media_publishing|other
11049,random,dev,no,no,no,no,no,no,no,no,yes,no,yes,no,1,0,1,media_publishing,other,no|no|no|no|no|no|no|no|yes|no|yes|no|1|0|1|media_publishing|other,no|no|no|no|no|no|no|no|yes|no|yes|no|1|0|1|media_publishing|per_item
11074,random,heldout,no,no,yes,no,no,no,no,no,no,no,yes,no,2,0,1,manufacturing_quality,other,no|no|yes|no|no|no|no|no|no|no|yes|no|2|0|1|manufacturing_quality|other,no|no|yes|no|no|no|no|no|no|no|yes|no|3|0|1|manufacturing_quality|other
11114,likely_bad,dev,no,yes,no,yes,no,yes,no,no,no,no,no,no,1,2,1,government,not_outsourced,no|yes|no|yes|no|yes|no|no|no|no|no|no|1|2|1|government|not_outsourced,no|yes|no|yes|no|yes|no|no|no|no|no|no|1|2|1|government|not_outsourced
11122,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,0,3,1,government,other,no|no|no|yes|no|no|no|no|no|no|no|no|0|3|1|government|other,no|no|no|yes|no|no|no|no|no|no|no|no|0|3|1|government|other
11150,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,0,3,1,other,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|3|1|other|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|3|1|other|not_outsourced
11162,likely_bad,dev,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,0,2,2,other,not_outsourced,no|no|no|yes|yes|no|yes|no|no|yes|no|no|0|2|2|other|not_outsourced,no|no|no|yes|yes|yes|yes|no|yes|yes|yes|no|0|2|2|other|not_outsourced
11167,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,yes,no,no,0,2,1,other,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|3|1|other|not_outsourced,no|no|no|yes|no|no|no|no|no|yes|no|no|0|2|1|other|not_outsourced
11190,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,other,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|other|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|other|not_outsourced
11291,anchor_high,dev,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,1,1,3,banking_fintech,per_item,yes|yes|no|no|no|yes|yes|no|yes|yes|yes|no|1|1|3|banking_fintech|per_item,yes|yes|no|no|no|yes|yes|no|yes|yes|yes|no|1|1|3|banking_fintech|per_item
11311,likely_bad,dev,no,no,no,yes,no,no,yes,yes,no,no,yes,no,0,1,2,manufacturing_quality,not_outsourced,no|no|no|yes|no|no|yes|yes|no|no|yes|no|0|1|2|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|no|no|no|no|yes|no|0|1|1|manufacturing_quality|not_outsourced
11342,random,dev,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,0,3,1,government,not_outsourced,no|yes|no|yes|no|yes|no|no|yes|yes|no|no|0|3|1|government|not_outsourced,no|yes|no|yes|no|yes|no|no|yes|yes|no|no|0|3|1|government|not_outsourced
11433,random,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,real_estate,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|real_estate|not_outsourced
11457,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,0,3,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|0|3|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|0|3|1|real_estate|other
11466,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,2,1,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|real_estate|other
11520,likely_bad,dev,no,no,no,yes,no,no,no,no,yes,no,no,no,1,1,1,real_estate,not_outsourced,no|no|no|yes|no|no|no|no|yes|no|no|no|1|1|1|real_estate|not_outsourced,no|no|no|yes|no|no|no|no|yes|no|no|no|1|1|1|real_estate|not_outsourced
11534,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,2,0,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|2|0|1|real_estate|other
11826,random,heldout,no,no,no,yes,yes,no,no,no,no,no,no,no,1,0,1,manufacturing_quality,other,no|no|no|yes|yes|no|no|no|no|no|no|no|1|0|1|manufacturing_quality|other,no|no|no|yes|yes|no|no|no|no|no|no|no|1|0|1|manufacturing_quality|not_outsourced
11931,likely_bad,dev,no,no,no,yes,no,no,no,no,yes,no,no,no,3,0,1,other,other,no|no|no|yes|no|no|no|no|yes|no|no|no|3|0|1|other|other,no|no|no|yes|no|no|no|no|yes|no|no|no|3|0|1|other|other
11955,random,dev,no,no,no,yes,no,no,yes,no,yes,yes,yes,no,1,1,1,manufacturing_quality,not_outsourced,no|no|yes|yes|no|no|yes|no|yes|yes|yes|no|1|1|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|yes|no|yes|yes|yes|no|1|1|1|manufacturing_quality|not_outsourced
12092,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|manufacturing_quality|per_item
12256,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|manufacturing_quality|not_outsourced
12397,random,dev,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,0,2,1,manufacturing_quality,not_outsourced,no|yes|no|yes|no|yes|yes|no|yes|no|no|no|1|2|1|manufacturing_quality|not_outsourced,no|yes|no|yes|no|yes|yes|no|yes|no|no|no|0|2|1|manufacturing_quality|not_outsourced
12599,likely_bad,dev,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,0,2,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|yes|yes|no|yes|yes|no|no|0|2|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|yes|no|yes|yes|no|no|0|2|1|manufacturing_quality|not_outsourced
12602,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,0,2,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|3|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|0|2|1|manufacturing_quality|not_outsourced
12615,likely_bad,heldout,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,1,1,1,manufacturing_quality,not_outsourced,no|yes|no|yes|no|yes|no|no|yes|no|no|no|1|1|1|manufacturing_quality|not_outsourced,no|yes|no|yes|no|yes|yes|no|yes|no|no|no|1|1|1|manufacturing_quality|not_outsourced
12931,likely_good,heldout,no,no,no,no,yes,no,no,no,no,no,no,no,1,1,1,other,not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|1|1|1|other|not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|1|1|1|other|not_outsourced
13104,random,dev,no,no,no,yes,yes,no,no,no,yes,no,no,no,3,0,1,other,other,no|no|no|yes|yes|no|no|no|yes|no|no|no|2|0|1|other|other,no|no|no|yes|yes|no|no|no|yes|no|no|no|3|0|1|other|other
13162,likely_bad,dev,no,no,no,no,no,no,yes,yes,yes,no,no,no,1,1,2,other,subscription,no|no|no|no|no|no|yes|yes|yes|no|no|no|1|1|2|other|not_outsourced,no|no|no|no|no|no|yes|yes|yes|no|no|no|1|1|2|other|subscription
13266,likely_bad,dev,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,0,3,2,logistics_supply_chain,per_item,no|yes|no|yes|no|yes|yes|no|yes|no|no|no|0|3|2|logistics_supply_chain|per_item,no|yes|no|yes|no|yes|yes|no|yes|no|no|no|0|3|1|logistics_supply_chain|per_item
13505,anchor_low,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,1,real_estate,other,no|no|no|yes|no|no|no|no|yes|no|no|no|1|2|1|real_estate|per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|real_estate|other
13532,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,real_estate,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|0|real_estate|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|real_estate|not_outsourced
13533,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|real_estate|other
13579,anchor_low,dev,no,no,no,yes,no,no,no,no,no,no,no,no,3,0,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|3|0|1|real_estate|other,no|no|no|yes|no|no|no|no|yes|no|no|no|3|0|1|real_estate|other
13631,random,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|real_estate|other
13665,likely_bad,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,logistics_supply_chain,other,no|no|no|yes|no|no|no|no|yes|no|no|no|1|1|1|logistics_supply_chain|other,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|logistics_supply_chain|other
13811,random,heldout,no,no,no,yes,no,no,no,no,yes,no,no,no,1,1,1,manufacturing_quality,per_item,no|no|no|yes|no|no|no|no|yes|no|no|no|1|1|1|manufacturing_quality|per_item,no|no|no|yes|no|no|no|no|yes|no|no|no|1|1|1|manufacturing_quality|per_item
13966,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,1,manufacturing_quality,per_item,no|no|no|yes|no|no|no|no|yes|no|no|no|1|2|1|manufacturing_quality|per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|manufacturing_quality|not_outsourced
13974,likely_bad,heldout,no,no,no,yes,no,no,yes,no,yes,no,no,no,1,1,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|no|yes|no|yes|no|no|no|1|2|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|yes|no|yes|no|no|no|1|1|1|manufacturing_quality|not_outsourced
14066,random,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|manufacturing_quality|not_outsourced
14413,likely_bad,heldout,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,1,2,1,manufacturing_quality,not_outsourced,no|yes|no|yes|no|yes|yes|no|yes|no|no|no|1|2|1|manufacturing_quality|not_outsourced,no|yes|no|yes|no|yes|yes|no|yes|no|no|no|1|2|1|manufacturing_quality|not_outsourced
14572,likely_bad,dev,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,1,1,1,government,per_item,no|yes|no|yes|no|yes|no|no|yes|yes|no|no|1|1|1|government|per_item,no|yes|no|yes|no|yes|no|no|yes|no|no|no|1|1|1|government|per_item
14760,random,dev,no,no,yes,no,no,no,no,no,yes,no,yes,no,3,0,1,sales_marketing,other,no|no|yes|no|no|no|no|no|yes|no|yes|no|3|0|1|sales_marketing|other,no|no|yes|no|no|no|no|no|yes|no|yes|no|3|0|1|sales_marketing|other
14765,likely_good,heldout,no,yes,no,no,no,no,no,no,yes,no,yes,no,2,0,1,software_it,other,no|yes|no|no|no|no|no|no|yes|no|yes|no|2|0|1|software_it|other,no|yes|no|no|no|no|no|no|yes|no|yes|no|2|0|1|software_it|other
14902,likely_bad,dev,no,yes,no,yes,no,yes,no,no,yes,no,no,no,1,1,1,real_estate,not_outsourced,no|yes|no|yes|no|yes|no|no|yes|no|no|no|1|1|1|real_estate|not_outsourced,no|yes|no|yes|no|yes|no|no|yes|no|no|no|1|1|1|real_estate|not_outsourced
14911,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,2,1,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|real_estate|other
14923,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,2,1,sales_marketing,per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|sales_marketing|per_item,no|no|no|yes|no|no|no|no|no|no|no|no|1|2|1|sales_marketing|per_item
14935,random,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,0,3,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|0|3|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|real_estate|other
15094,random,dev,no,no,no,yes,no,yes,yes,no,yes,no,no,no,1,1,3,manufacturing_quality,per_item,yes|no|no|no|no|yes|yes|no|yes|no|no|no|1|1|3|other|per_item,no|no|no|yes|no|yes|yes|no|yes|no|no|no|1|1|3|manufacturing_quality|per_item
15129,random,dev,no,yes,no,yes,no,yes,no,no,yes,no,no,no,0,2,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|no|no|no|yes|no|no|no|0|1|1|manufacturing_quality|not_outsourced,no|yes|no|yes|no|yes|no|no|yes|yes|no|no|0|2|1|manufacturing_quality|not_outsourced
15202,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,1,other,other,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|other|other,no|no|no|yes|no|no|no|no|no|no|no|no|1|1|1|other|other
15206,likely_good,dev,no,no,no,no,no,no,no,no,yes,yes,yes,no,1,1,1,software_it,subscription,no|no|no|no|no|no|no|no|yes|yes|yes|no|1|1|1|software_it|subscription,no|no|no|no|no|no|no|no|yes|yes|yes|no|1|1|1|software_it|subscription
15279,random,heldout,no,no,no,no,yes,no,no,no,no,no,no,no,2,0,1,government,not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|2|1|1|government|not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|2|0|1|government|not_outsourced
15426,likely_good,heldout,no,no,no,no,yes,no,no,no,no,no,no,no,2,0,1,manufacturing_quality,not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|1|0|1|manufacturing_quality|not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|2|0|1|manufacturing_quality|not_outsourced
15429,likely_good,heldout,no,no,no,no,yes,no,no,no,no,no,no,no,1,1,1,manufacturing_quality,not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|1|1|1|manufacturing_quality|not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|1|1|1|manufacturing_quality|not_outsourced
15598,random,heldout,no,no,no,no,no,no,yes,no,yes,yes,yes,no,1,0,1,healthcare_admin,not_outsourced,no|no|no|no|no|no|yes|no|no|no|yes|no|1|0|1|healthcare_admin|not_outsourced,no|no|no|no|no|no|no|no|yes|yes|yes|no|1|0|1|healthcare_admin|not_outsourced
15643,anchor_high,heldout,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,1,2,2,banking_fintech,per_item,yes|yes|no|no|no|yes|yes|no|yes|yes|yes|yes|1|2|2|banking_fintech|per_item,yes|yes|no|no|no|yes|yes|no|yes|yes|yes|yes|1|2|2|banking_fintech|subscription
15840,likely_good,heldout,yes,no,no,no,no,no,no,no,yes,no,yes,no,2,0,1,real_estate,other,yes|no|no|no|no|no|no|no|yes|no|yes|no|2|0|1|real_estate|other,yes|yes|no|no|no|no|no|no|yes|yes|yes|no|2|0|1|real_estate|other
15872,random,dev,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,2,0,2,logistics_supply_chain,other,no|no|yes|no|no|no|yes|no|yes|yes|yes|no|2|0|2|logistics_supply_chain|other,no|no|yes|no|no|no|yes|no|yes|yes|yes|no|2|0|3|logistics_supply_chain|other
15937,random,dev,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,0,2,1,logistics_supply_chain,subscription,yes|no|no|no|no|yes|yes|no|yes|yes|yes|no|0|2|1|logistics_supply_chain|subscription,yes|no|no|no|no|yes|yes|no|yes|yes|yes|no|0|2|2|logistics_supply_chain|subscription
15950,likely_good,dev,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,1,1,1,government,other,yes|yes|no|no|no|no|no|no|yes|yes|yes|no|1|1|1|government|other,yes|yes|no|no|no|no|no|no|yes|yes|yes|no|1|1|1|government|other
15961,likely_good,heldout,no,no,yes,no,no,no,no,no,no,no,yes,no,3,0,1,banking_fintech,other,no|no|yes|no|no|no|no|no|no|no|yes|no|3|0|1|banking_fintech|other,yes|no|no|no|no|no|no|no|no|no|yes|no|3|0|1|banking_fintech|other
16045,anchor_high,heldout,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,1,2,3,insurance,per_item,yes|yes|no|no|no|yes|yes|yes|yes|yes|yes|no|1|2|3|insurance|per_item,yes|yes|no|no|no|yes|yes|yes|yes|yes|yes|no|1|1|3|insurance|contingency
16198,likely_good,dev,no,no,no,no,yes,no,no,no,no,no,yes,no,1,1,1,media_publishing,not_outsourced,no|no|no|no|yes|no|no|no|no|no|yes|no|1|1|1|media_publishing|other,no|no|no|no|yes|no|no|no|no|no|yes|no|1|1|1|media_publishing|not_outsourced
16201,random,dev,no,no,yes,no,no,no,no,no,yes,no,yes,no,2,1,1,media_publishing,not_outsourced,no|no|no|no|yes|no|no|no|yes|no|no|no|1|1|1|media_publishing|not_outsourced,no|no|yes|no|no|no|no|no|yes|no|yes|no|2|1|1|media_publishing|not_outsourced
16231,likely_good,dev,no,no,yes,no,yes,no,no,no,yes,no,no,no,3,0,1,software_it,other,no|no|yes|no|yes|no|no|no|yes|no|no|no|3|0|1|software_it|other,no|no|yes|no|yes|no|no|no|yes|no|no|no|3|0|1|software_it|other
16517,random,heldout,yes,no,no,no,no,no,no,no,yes,no,yes,no,2,1,1,manufacturing_quality,other,yes|no|no|no|no|no|no|no|yes|no|yes|no|2|1|1|manufacturing_quality|other,yes|no|no|no|no|no|no|no|yes|no|yes|no|2|1|1|manufacturing_quality|other
16559,likely_good,heldout,no,no,yes,no,no,no,yes,no,yes,no,yes,no,3,0,2,manufacturing_quality,other,no|no|yes|no|no|no|no|no|yes|no|yes|no|3|0|1|manufacturing_quality|other,no|no|yes|no|no|no|yes|no|yes|no|yes|no|3|0|3|manufacturing_quality|other
16794,likely_good,dev,no,no,no,no,yes,no,no,no,no,no,no,no,2,0,1,other,other,no|no|no|no|yes|no|no|no|no|no|no|no|2|0|1|other|other,no|no|no|no|yes|no|no|no|yes|no|no|no|2|0|1|other|other
16800,likely_good,dev,no,no,no,no,yes,no,no,no,no,no,no,no,2,0,1,other,not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|2|0|1|other|not_outsourced,no|no|no|no|yes|no|no|no|no|no|no|no|2|0|1|other|not_outsourced
16915,likely_good,heldout,no,no,yes,no,no,no,no,no,no,no,yes,no,3,0,1,government,other,no|no|yes|no|no|no|no|no|no|no|yes|no|3|0|1|government|other,no|no|yes|no|no|no|no|no|no|no|yes|no|3|0|1|government|other
16956,likely_good,dev,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,0,2,1,manufacturing_quality,per_item,no|yes|no|yes|no|yes|no|no|yes|no|no|no|0|2|1|manufacturing_quality|per_item,no|yes|no|yes|no|yes|yes|no|yes|yes|no|no|1|2|1|manufacturing_quality|per_item
17332,likely_good,dev,no,no,no,no,yes,no,no,no,yes,no,no,yes,1,1,1,healthcare_admin,not_outsourced,no|no|no|no|yes|no|no|no|yes|no|no|yes|1|1|1|healthcare_admin|not_outsourced,no|no|no|no|yes|no|no|no|yes|no|no|yes|1|1|1|healthcare_admin|not_outsourced
17548,likely_good,dev,yes,no,no,unsure,no,no,no,no,yes,yes,no,no,2,1,0,government,other,yes|no|no|unsure|no|no|no|no|yes|yes|unsure|no|2|1|0|government|other,yes|no|no|unsure|no|no|no|no|yes|yes|yes|no|2|1|1|government|other
17698,random,dev,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,1,2,2,logistics_supply_chain,per_item,yes|yes|no|no|no|yes|yes|no|yes|yes|yes|no|1|2|2|logistics_supply_chain|per_item,yes|yes|no|no|no|yes|yes|no|yes|yes|yes|no|1|2|2|logistics_supply_chain|per_item
17830,random,heldout,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,0,2,1,manufacturing_quality,not_outsourced,no|no|no|yes|no|yes|yes|no|yes|yes|no|no|0|2|1|manufacturing_quality|not_outsourced,no|no|no|yes|no|no|yes|no|yes|yes|no|no|0|2|1|manufacturing_quality|not_outsourced
17940,likely_bad,dev,no,no,no,yes,no,no,no,no,no,no,no,no,2,0,1,real_estate,other,no|no|no|yes|no|no|no|no|no|no|no|no|2|1|1|real_estate|other,no|no|no|yes|no|no|no|no|no|no|no|no|2|0|1|real_estate|other
18031,likely_good,dev,no,no,no,no,no,no,yes,no,yes,yes,yes,no,3,0,3,manufacturing_quality,other,no|no|no|no|no|no|yes|no|yes|yes|yes|no|3|0|3|manufacturing_quality|other,no|no|no|no|no|no|yes|no|yes|yes|yes|no|3|0|3|manufacturing_quality|other
18051,anchor_high,heldout,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,2,1,2,manufacturing_quality,per_item,yes|yes|no|no|no|yes|yes|no|yes|yes|yes|no|2|1|2|manufacturing_quality|other,yes|yes|no|no|no|yes|yes|no|yes|yes|yes|no|2|1|2|manufacturing_quality|per_item
18090,likely_good,dev,no,no,yes,no,no,no,no,no,no,no,no,no,2,0,1,healthcare_admin,other,no|no|yes|no|no|no|no|no|no|no|no|no|2|0|1|healthcare_admin|other,no|no|yes|no|no|no|no|no|no|no|no|no|2|0|1|healthcare_admin|other
18103,likely_good,dev,no,no,no,no,yes,no,no,no,yes,yes,no,no,1,1,1,healthcare_admin,other,no|no|no|no|yes|no|no|no|no|yes|no|no|1|1|1|healthcare_admin|other,no|no|no|no|yes|no|no|no|yes|yes|no|no|1|1|1|healthcare_admin|other
18172,random,heldout,no,no,no,yes,no,no,no,no,yes,yes,no,no,3,0,1,manufacturing_quality,other,no|no|no|yes|no|no|no|no|yes|yes|no|no|3|0|1|manufacturing_quality|other,no|no|no|yes|no|no|no|no|yes|yes|no|no|3|0|1|manufacturing_quality|other
18274,likely_good,heldout,no,no,no,yes,no,no,no,no,no,no,no,no,3,0,0,government,other,no|no|no|yes|no|no|no|no|no|no|no|no|3|0|0|government|other,no|no|no|yes|no|no|no|no|no|no|no|no|3|0|1|government|other
